slippage_pct,trades,skipped,start_capital,end_balance,return_pct,mdd,mdd_pct,sharpe,worst_day,best_day,avg_lots
0.0,175,3,200000,377574.6159897396,88.78730799486979,-75717.22654713248,-17.86810452872035,5.317662578167988,-26201.541239775,30940.872414287496,3.84
0.5,175,3,200000,255111.03569149415,27.555517845747076,-80863.92136800935,-24.559360277295305,2.1917479471021086,-21090.951935901987,19369.605828381078,2.9771428571428573
1.0,175,3,200000,172790.71913675504,-13.604640431622482,-93068.74390156617,-35.33638384698707,-1.4581341398679555,-16864.173686762937,12226.790903896486,2.297142857142857
1.5,174,4,200000,128047.43630941455,-35.976281845292725,-104531.23673957054,-45.167667764836416,-4.273940902728796,-18368.350606574244,9896.27429342976,1.9137931034482758
2.0,165,13,200000,101854.24190150813,-49.07287904924594,-116118.28742350439,-53.40238119538269,-6.911572420692096,-11924.495526305298,8272.543257139998,1.715151515151515
3.0,144,34,200000,71322.98764469965,-64.33850617765017,-129486.20999910655,-64.48221073458407,-11.667518271087172,-13236.528307433755,6184.343039180002,1.4930555555555556
5.0,89,89,200000,54113.69485848988,-72.94315257075506,-145886.30514151012,-72.94315257075506,-19.581221499006148,-12708.585245351016,4385.012105299992,1.4719101123595506
