tag,trades,skip,end_balance,ret%,mdd%,mdd_rs,avg_lots,max_lots,sharpe,worst_day,best_day,start
equity_25_NOLIQ,177,1,778529.6570118129,94.63241425295323,-17.431331052891935,-153341.26408186997,8.180790960451978,20,5.27089964916695,-54453.80545195751,65519.27247114999,400000
equity_25_liq05,50,128,372377.52724956104,-6.905618187609736,-12.32853482328426,-51444.12335251755,2.82,6,-2.0905948457020957,-21657.982815819993,23854.6171291375,400000
equity_25_liq10,61,117,395620.6418959912,-1.0948395260021928,-15.081342031027946,-66071.08773828845,3.5901639344262297,9,-0.2329934429394532,-22979.352727219994,30940.872414287496,400000
equity_25_liq20,73,105,397826.9895081493,-0.5432526229626761,-17.66094355642931,-80091.60513976292,3.7945205479452055,9,-0.09986833383278897,-25179.234543239992,30940.872414287496,400000
equity_33_liq10,61,117,385623.132445097,-3.5942168887257484,-18.129390670537827,-80301.95406493504,4.245901639344262,10,-0.6099779105559157,-32637.60322711999,41229.1047944575,400000
equity_50_liq10,61,117,354081.2675622916,-11.479683109427109,-25.586357751723828,-114051.78967724805,5.131147540983607,12,-1.537463907819136,-42295.85372701999,51346.76190084999,400000
