tag,mode,param,trades,skipped,end_balance,return_pct,mdd_pct,mdd_rs,best_day,worst_day,avg_lots,max_lots,sharpe,start
equity_33,equity,33%,177,1,944696.9294358407,136.17423235896018,-20.606616616272625,-221371.38120075234,103470.22489680997,-89312.51776165998,12.141242937853107,20,5.150351892618133,400000
greedy_free33,free,33%,177,1,905583.7261227549,126.3959315306887,-19.23665518429411,-196877.52681564284,103470.22489680997,-84483.39251170997,10.293785310734464,20,5.035739310243422,400000
equity_25,equity,25%,177,1,778529.6570118129,94.63241425295323,-17.431331052891935,-153341.26408186997,65519.27247114999,-54453.80545195751,8.180790960451978,20,5.27089964916695,400000
slots_4x25,slots,25% x 4slots,175,3,777458.796009163,94.36469900229076,-17.452576416260417,-153341.26408186997,65519.27247114999,-54453.80545195751,8.251428571428571,20,5.261666165179972,400000
greedy_free25,free,25%,177,1,757670.8825374297,89.41772063435741,-16.660182926532702,-141302.639400795,65519.27247114999,-52416.75090249998,7.175141242937853,20,5.131596744683389,400000
slots_5x20,slots,20% x 5slots,177,1,691421.6811184399,72.85542027960997,-13.436280484316985,-101335.9627982151,44772.23243703249,-39237.24867517999,5.813559322033898,16,5.694605316103283,400000
equity_20,equity,20%,178,0,691310.3693808399,72.82759234520996,-13.438263835359269,-101335.9627982151,44772.23243703249,-39237.24867517999,5.786516853932584,16,5.693631547015077,400000
slots_4x20,slots,20% x 4slots,175,3,665774.6696644826,66.44366741612065,-14.47825690876982,-105983.51934807992,44772.23243703249,-39237.24867517999,5.662857142857143,16,5.319536980502094,400000
greedy_free20,free,20%,178,0,660565.5996614097,65.14139991535244,-12.913762623861132,-92653.52959648485,44772.23243703249,-36539.048260025,5.044943820224719,16,5.477477541805836,400000
slots_6x16,slots,17% x 6slots,177,1,622961.3730939969,55.740343273499214,-11.51027146382541,-77759.24951323005,34484.0000568625,-29470.874587995004,4.299435028248587,13,5.782415298383159,400000
