tag,mode,param,trades,skipped,end_balance,return_pct,mdd_pct,mdd_rs,best_day,worst_day,avg_lots,max_lots,sharpe,start
equity_33,equity,33%,176,2,450586.08429596596,125.29304214798297,-21.533651957224404,-112199.54016349994,51687.91244840499,-42310.672256705,6.028409090909091,15,4.73524309497146,200000
greedy_free33,free,33%,177,1,437409.27816698677,118.70463908349339,-20.412357570021545,-103684.29963104497,48144.78480582999,-38358.73677055998,5.101694915254237,15,4.745697049039666,200000
equity_25,equity,25%,175,3,377574.6159897396,88.78730799486979,-17.86810452872035,-75717.22654713248,30940.872414287496,-26201.541239775,3.84,10,5.317662578167988,200000
greedy_free25,free,25%,173,5,373332.6323955747,86.66631619778734,-15.449967494777102,-63279.45843555493,30940.872414287496,-25179.234543239992,3.4161849710982657,10,5.437788847717063,200000
slots_4x25,slots,25% x 4slots,173,5,371622.5188057672,85.81125940288358,-17.0792632884754,-70283.34296695748,30940.872414287496,-25179.234543239992,3.7630057803468207,10,5.301127980497096,200000
slots_5x20,slots,20% x 5slots,174,4,319754.41492908023,59.87720746454013,-13.02539306392336,-45680.49035020755,20652.640034117496,-16451.024124645,2.5689655172413794,8,5.462417688647811,200000
equity_20,equity,20%,175,3,319643.1031914802,59.82155159574011,-13.029528580307035,-45680.49035020755,20652.640034117496,-16451.024124645,2.56,8,5.4598249070454035,200000
slots_4x20,slots,20% x 4slots,172,6,317004.5719164328,58.502285958216426,-13.219095056966736,-45680.49035020749,20652.640034117496,-16451.024124645,2.552325581395349,8,5.534624093340054,200000
greedy_free20,free,20%,170,8,310566.78139410267,55.283390697051324,-13.404906001328502,-45489.20908509253,17109.5123915425,-16175.39767371001,2.347058823529412,8,5.513517181496441,200000
slots_6x16,slots,17% x 6slots,165,13,298999.0117112843,49.499505855642155,-11.056131751303774,-35647.035708360025,13736.960022744997,-12379.1331952525,1.9696969696969697,6,5.967939046968263,200000
