entry_ts,exit_ts,symbol,side,opt_type,strike,lots,qty,premium_in,premium_out,capital_locked,gross,cost,net,exit_reason
2026-05-05 13:10:00,2026-05-05 15:15:00,NIFTY,long,CE,24050.0,1,65,742.2929999999999,710.9275,48249.04499999999,-2038.7574999999924,116.68550597605498,-2155.4430059760475,TIME
2026-05-06 14:25:00,2026-05-06 15:00:00,BANKNIFTY,long,CE,55500.0,1,30,1904.475,2070.197,57134.25,4971.660000000006,137.15932173544,4834.500678264566,TGT
2026-05-06 14:25:00,2026-05-06 15:15:00,NIFTY,long,CE,24250.0,1,65,736.866,749.18525,47896.29,800.7512500000007,119.11375945763751,681.6374905423631,TIME
2026-05-07 11:30:00,2026-05-07 11:50:00,BANKNIFTY,short,PE,55900.0,1,30,1231.2254999999998,1304.69375,36936.76499999999,2204.0475000000038,104.30785327388499,2099.7396467261187,OI_FLIP
2026-05-08 14:00:00,2026-05-08 14:15:00,BANKNIFTY,short,PE,55300.0,1,30,1376.5987499999999,1413.1985,41297.962499999994,1097.9925000000026,109.630385146945,988.3621148530576,OI_FLIP
2026-05-08 14:00:00,2026-05-08 14:40:00,NIFTY,short,PE,24150.0,2,130,513.2032499999999,461.68,66716.42249999999,-6698.022499999987,139.248885585215,-6837.271385585203,SL
2026-05-11 13:55:00,2026-05-11 14:45:00,NIFTY,long,CE,24000.0,1,65,669.8325,606.6017499999999,43539.112499999996,-4109.998750000003,107.54252016906749,-4217.541270169071,SL
2026-05-12 14:10:00,2026-05-12 15:15:00,NIFTY,short,PE,23450.0,1,65,519.7357499999999,547.1505,33782.823749999996,1781.9587500000016,99.1884143842375,1682.770335615764,TIME
2026-05-13 10:25:00,2026-05-13 13:15:00,NIFTY,long,CE,23450.0,1,65,703.3994999999999,745.4540000000001,45720.96749999999,2733.5425000000123,117.894635164985,2615.647864835027,SL
2026-05-13 11:40:00,2026-05-13 14:45:00,BANKNIFTY,long,CE,53900.0,1,30,1825.9342499999998,1784.6319999999998,54778.0275,-1239.0674999999987,127.206264921325,-1366.2737649213238,SL
2026-05-14 10:50:00,2026-05-14 11:00:00,BANKNIFTY,short,PE,53300.0,1,30,1440.6674999999998,1462.60025,43220.024999999994,657.9825000000051,112.025451241855,545.9570487581501,OI_FLIP
2026-05-14 11:25:00,2026-05-14 11:30:00,BANKNIFTY,long,CE,53600.0,1,30,1754.4284999999998,1840.79975,52632.854999999996,2591.1375000000044,128.004311384065,2463.133188615939,SL
2026-05-14 11:40:00,2026-05-14 11:45:00,BANKNIFTY,long,CE,54000.0,1,30,1736.2882499999998,1799.8555000000001,52088.64749999999,1907.0175000000086,126.48550444787502,1780.5319955521336,OI_FLIP
2026-05-14 11:40:00,2026-05-14 14:45:00,NIFTY,long,CE,23650.0,1,65,637.17,658.6899999999999,41416.049999999996,1398.7999999999988,110.11833465059999,1288.6816653493988,SL
2026-05-15 11:10:00,2026-05-15 11:30:00,NIFTY,short,PE,23750.0,1,65,534.3584999999999,560.23475,34733.3025,1681.9562500000018,100.49503348295751,1581.4612165170442,OI_FLIP
2026-05-15 11:20:00,2026-05-15 12:50:00,BANKNIFTY,short,PE,54000.0,1,30,1410.0149999999999,1272.4557499999999,42300.45,-4126.7775,105.686818708915,-4232.464318708915,SL
2026-05-15 13:20:00,2026-05-15 13:40:00,BANKNIFTY,long,CE,54300.0,1,30,1723.5749999999998,1597.97,51707.24999999999,-3768.1499999999937,120.01995505090002,-3888.169955050894,SL
2026-05-15 13:35:00,2026-05-15 15:15:00,NIFTY,short,PE,23750.0,2,130,501.6959999999999,577.1,65220.47999999999,9802.520000000015,154.18168013832002,9648.338319861696,TIME
2026-05-19 11:00:00,2026-05-19 14:40:00,BANKNIFTY,long,CE,53700.0,1,30,1612.0702499999998,1505.5345,48362.10749999999,-3196.0724999999934,115.65023012309503,-3311.7227301230882,SL
2026-05-19 13:40:00,2026-05-19 15:15:00,NIFTY,short,PE,23700.0,2,130,507.77624999999995,547.25,66010.91249999999,5131.587500000007,150.499142572275,4981.088357427732,TIME
2026-05-20 10:35:00,2026-05-20 12:05:00,BANKNIFTY,long,CE,53100.0,1,30,1663.2749999999999,1736.275,49898.24999999999,2190.000000000007,123.52897554100001,2066.471024459007,SL
2026-05-20 14:10:00,2026-05-20 15:15:00,NIFTY,long,CE,23650.0,1,65,605.01,587.846,39325.65,-1115.6599999999992,104.40217224175998,-1220.062172241759,TIME
2026-05-20 14:10:00,2026-05-20 15:15:00,BANKNIFTY,long,CE,53400.0,1,30,1650.3104999999998,1741.25,49509.314999999995,2728.1850000000054,123.51123115921,2604.673768840795,TIME
2026-05-21 11:05:00,2026-05-21 12:55:00,BANKNIFTY,short,PE,53700.0,1,30,1256.2499999999998,1487.326,37687.49999999999,6932.280000000008,110.33715350751999,6821.942846492488,TGT
2026-05-21 11:00:00,2026-05-21 13:35:00,NIFTY,short,PE,23700.0,2,130,474.5609999999999,504.91274999999996,61692.92999999999,3945.727500000005,142.858221130225,3802.86927886978,SL
2026-05-21 13:05:00,2026-05-21 13:45:00,BANKNIFTY,short,PE,53200.0,1,30,1306.4999999999998,1165.39375,39194.99999999999,-4233.1874999999945,100.96750292537499,-4334.155002925369,SL
2026-05-22 11:50:00,2026-05-22 15:15:00,BANKNIFTY,long,CE,54100.0,1,30,1482.3749999999998,1496.48,44471.24999999999,423.15000000000737,113.63823785710001,309.51176214290734,TIME
2026-05-22 14:30:00,2026-05-22 15:15:00,NIFTY,short,PE,23750.0,2,130,467.32499999999993,452.725,60752.24999999999,-1897.9999999999882,135.387434621,-2033.3874346209882,TIME
2026-05-25 13:05:00,2026-05-25 15:15:00,NIFTY,long,CE,23950.0,2,130,493.50524999999993,517.8975,64155.68249999999,3170.9925000000135,145.707749933905,3025.2847500661082,TIME
2026-05-26 12:00:00,2026-05-26 12:35:00,BANKNIFTY,short,PE,55300.0,2,60,1061.8829999999998,1077.4855,63712.97999999999,936.1500000000115,142.72755455674,793.4224454432715,OI_FLIP
2026-05-27 14:30:00,2026-05-27 14:50:00,NIFTY,short,PE,23900.0,3,195,374.46299999999997,367.553,73020.28499999999,-1347.449999999994,154.16634823108,-1501.616348231074,OI_FLIP
2026-05-27 13:30:00,2026-05-27 15:05:00,BANKNIFTY,short,PE,54900.0,2,60,1035.0997499999999,976.095,62105.98499999999,-3540.28499999999,135.68925831979,-3675.97425831978,OI_FLIP
2026-05-29 13:05:00,2026-05-29 13:15:00,BANKNIFTY,short,PE,54700.0,2,60,986.9099999999999,1052.4115,59214.59999999999,3930.0900000000047,139.16395517086,3790.9260448291448,OI_FLIP
2026-05-29 13:15:00,2026-05-29 15:00:00,NIFTY,short,PE,23750.0,3,195,351.14699999999993,410.736,68473.665,11619.85500000001,160.89880941679,11458.95619058322,SL
2026-06-01 13:05:00,2026-06-01 13:15:00,BANKNIFTY,short,PE,53800.0,2,60,1013.7937499999999,1032.4119999999998,60827.62499999999,1117.0949999999925,138.63359001222997,978.4614099877625,OI_FLIP
2026-06-01 12:00:00,2026-06-01 15:15:00,NIFTY,short,PE,23500.0,3,195,374.41274999999996,408.149,73010.48624999999,6578.568750000008,162.3911721950275,6416.1775778049805,TIME
2026-06-02 11:25:00,2026-06-02 11:30:00,NIFTY,long,CE,23350.0,2,130,437.979,421.3825,56937.27,-2157.544999999999,129.45593903032997,-2287.000939030329,OI_FLIP
2026-06-02 11:25:00,2026-06-02 11:30:00,BANKNIFTY,long,CE,53400.0,1,30,1334.3384999999998,1274.24675,40030.155,-1802.7524999999946,104.73344955320499,-1907.4859495531996,OI_FLIP
