entry_ts,exit_ts,symbol,side,exit_reason,lots,qty,entry_spot,exit_spot,premium_in,premium_out,capital,gross,cost,net,month
2025-12-29 14:10:00,2025-12-29 15:10:00,BANKNIFTY,long,TIME,4,120,58955.45,58927.65,474.00181799999996,455.45488200000216,56880.21816,-2225.632319999736,129.30049113613626,-2354.9328111358723,2025-12
2025-12-30 13:45:00,2025-12-30 15:10:00,BANKNIFTY,long,TIME,4,120,59053.35,59186.0,474.788934,536.0580410000007,56974.67208,7352.292840000084,139.3972460295581,7212.895593970526,2025-12
2025-12-30 14:30:00,2025-12-30 15:10:00,NIFTY,short,TIME,3,195,25916.65,25940.15,260.4623325,246.17941750000003,50790.1548375,-2785.168424999995,119.680766235865,-2904.84919123586,2025-12
2026-01-01 13:25:00,2026-01-01 15:10:00,BANKNIFTY,short,TIME,4,120,59633.6,59698.75,479.454144,442.2713309999993,57534.497279999996,-4461.937560000083,127.9467705098379,-4589.884330509921,2026-01
2026-01-02 14:35:00,2026-01-02 15:10:00,BANKNIFTY,short,TIME,4,120,60033.95,60123.8,482.67295799999994,433.16986699999705,57920.75495999999,-5940.370920000346,126.98312142802564,-6067.354041428372,2026-01
2026-01-05 14:05:00,2026-01-05 15:10:00,NIFTY,short,TIME,3,195,26224.2,26243.55,263.55321,251.30416500000075,51392.875949999994,-2388.5637749998496,120.98752937008388,-2509.5513043699334,2026-01
2026-01-06 11:20:00,2026-01-06 15:10:00,NIFTY,short,TIME,3,195,26156.1,26181.25,262.86880499999995,247.74106999999924,51259.41697499999,-2949.9083250001386,120.20593043053358,-3070.114255430672,2026-01
2026-01-08 10:05:00,2026-01-08 15:10:00,NIFTY,short,TIME,3,195,26065.9,25874.1,261.962295,354.7762050000014,51082.647525,18098.712450000283,141.8243494951303,17956.88810050515,2026-01
2026-01-08 14:30:00,2026-01-08 15:10:00,BANKNIFTY,short,TIME,4,120,59725.35,59682.4,480.19181399999997,496.7814109999985,57623.01768,1990.7516399998258,134.7859306176578,1855.965709382168,2026-01
2026-01-12 11:35:00,2026-01-12 12:05:00,NIFTY,short,SL,4,260,25475.65,25577.552600000003,256.0302825,202.7861739999994,66567.87345,-13843.468210000157,131.6004949329803,-13975.068704933137,2026-01
2026-01-12 11:35:00,2026-01-12 12:15:00,BANKNIFTY,short,SL,4,120,58916.7,59152.366799999996,473.69026799999995,351.7326990000005,56842.83215999999,-14634.908279999936,116.34514349408542,-14751.253423494021,2026-01
