tag,trades,skip,end_balance,ret%,mdd%,mdd_rs,avg_lots,max_lots,sharpe,worst_day,best_day,start
equity_25_NOLIQ,175,3,377574.6159897396,88.78730799486979,-17.86810452872035,-75717.22654713248,3.84,10,5.317662578167988,-26201.541239775,30940.872414287496,200000
equity_25_liq05,50,128,188321.02520596827,-5.839487397015869,-15.306318742329545,-32632.437232284225,1.9,4,-1.4345028735244638,-11999.732315919997,13736.960022744997,200000
equity_25_liq10,60,118,192519.76349401075,-3.7401182529946237,-17.38744973495381,-38654.83196623923,1.9666666666666666,4,-0.7835952837141902,-11121.220411299997,13845.226236609999,200000
equity_25_liq20,73,105,202039.51967366855,1.0197598368342748,-16.1622387692453,-36885.05040262613,2.0136986301369864,4,0.19612426197068455,-11121.220411299997,13736.960022744997,200000
equity_33_liq10,61,117,194117.40501934543,-2.9412974903272793,-20.611238924834492,-46711.96739749424,2.557377049180328,6,-0.47186413923953546,-14619.927094260009,20652.640034117496,200000
equity_50_liq10,60,118,188282.11620613022,-5.858941896934886,-29.609228512648066,-70773.30023721946,3.5833333333333335,9,-0.6270291379474823,-22979.352727219994,30940.872414287496,200000
