slippage_pct,trades,skipped,start_capital,end_balance,return_pct,mdd,mdd_pct,sharpe,worst_day,best_day,avg_lots
0.0,177,1,400000,778529.6570118129,94.63241425295323,-153341.26408186997,-17.431331052891935,5.27089964916695,-54453.80545195751,65519.27247114999,8.180790960451978
0.5,177,1,400000,518902.81689520157,29.72570422380039,-183816.48188458558,-26.767595620478147,2.1074525173066205,-46720.544150168025,42002.84341369143,6.52542372881356
1.0,177,1,400000,350754.2897837454,-12.311427554063652,-220818.6142269941,-39.11022979965019,-1.1085396691172031,-39048.16128115858,31616.736876446546,5.15819209039548
1.5,177,1,400000,233509.6117084078,-41.622597072898046,-235135.76896460203,-50.46865769297425,-4.553667106496505,-34173.31848018944,25239.366498507432,4.169491525423729
2.0,177,1,400000,172612.47758166358,-56.84688060458411,-266342.8844184461,-60.68099078425984,-7.264273187674542,-25434.952671796542,20617.695934933763,3.5480225988700567
3.0,173,5,400000,99253.26195148949,-75.18668451212763,-300746.7380485105,-75.18668451212763,-11.806341554306378,-28473.430510794456,13454.476584890004,2.6242774566473988
5.0,132,46,400000,57406.32213672821,-85.64841946581794,-342593.6778632718,-85.64841946581794,-17.18692443687905,-27761.020261136793,8817.224210599983,2.090909090909091
